attendees,affiliation,status
Jamie Whitney,Medicine,Staff
Muneef al-Quadri,Pharmacy,Staff
Sierra Atwater III,Pharmacy,Faculty
Shaakira al-Rayes,Medicine,Faculty
Nola Truong,Medicine,Staff
Karolina Cooper,Social Work,Faculty
Hibbaan el-Minhas,Pharmacy,Student
Aatif el-Abdi,Nursing,Faculty
John Gonzales,Dentistry,Student
Shishan Thirumalai,Medicine,Faculty
Frances Schippers,Social Work,Staff
Geny Mannino,Dentistry,Staff
Jonathan Lange,Medicine,Staff
Hamid Nguyen,Dentistry,Student
Rebecca Coutu,Nursing,Staff
Khaleela al-Jalil,Medicine,Student
Tharwa al-Semaan,Nursing,Student
Ryann Egbune,Social Work,Student
Wardiyya el-Mahfouz,Social Work,Faculty
Cruz Mena,Medicine,Student
Shelby Faulhaber,Pharmacy,Staff
Cloe Yang,Pharmacy,Student
Odalis Griego,Nursing,Faculty
Brittany Sosa,Dentistry,Student
Colwyn Cordova,Pharmacy,Student
Greta Derengowski,Social Work,Faculty
Loc Barman,Pharmacy,Faculty
Khulood al-Kaber,Medicine,Faculty
Mitchelle Hamlin,Dentistry,Staff
