attendees,affiliation,status
Maria Castaneda,Pharmacy,Faculty
Abdul Waahid al-Jaber,Nursing,Faculty
Kameel el-Salame,Nursing,Faculty
Dhaakir al-Taha,Medicine,Staff
Tahaani el-Dawood,Medicine,Staff
Miqdaam el-Mustafa,Pharmacy,Staff
Conner Shelton,Medicine,Staff
Cody Molina,Nursing,Student
Alexis Wright,Medicine,Faculty
Grant Goldstrom,Graduate,Faculty
Analisa Hobson,Medicine,Student
Haani al-Ismail,Nursing,Faculty
Deondre Mack,Pharmacy,Staff
Kaci Anderson,Pharmacy,Faculty
Shuaib el-Noori,Dentistry,Faculty
Ghuzaila al-Abdul,Medicine,Faculty
Erika Carrico,Nursing,Student
Jerika Miales,Dentistry,Faculty
Ryuma Tiatia,Dentistry,Student
Bridgid Hess,Dentistry,Faculty
