attendees,affiliation,status
Emily Gutierrez Varela,Pharmacy,Student
Khaleefa al-Selim,Social Work,Staff
Naseera al-Akhtar,Pharmacy,Faculty
Nathaniel Clark,Medicine,Staff
Basheer el-Rafiq,Nursing,Student
Rasheeqa al-Rehmann,Pharmacy,Staff
Stephanie Rodriguez Avitia,Medicine,Staff
Savdeep Kwon,Medicine,Faculty
Briana Montoya,Dentistry,Faculty
Gage Brooks,Pharmacy,Faculty
Kushal Ngo,Graduate,Faculty
Cesar Varns,Nursing,Faculty
Hawa Mower,Graduate,Student
Alexandra Willis,Social Work,Staff
Sara Ta,Nursing,Student
Anthony Johansen,Medicine,Faculty
Cassandra Murtari,Nursing,Staff
Amy Hohman,Nursing,Staff
Fawqiyya al-Abid,Social Work,Faculty
